t-1,t0,t20,t40,t60,t80,t100,t120
190,150,50,120,220,210,210,190
160,70,20,30,70,70,90,60
15,70,130,320,390,340,160,40
360,50,0,80,140,150,130,60
570,29,16,30,190,260,270,210
160,70,20,30,70,70,90,60
190,150,50,120,220,210,210,190
