t-1,t0,t20,t40,t60 ,t80,t100,t120
20.00,110,40,130,160,210.00,190,160
180.00,450,75,100,110.00,120,120,100
120.00,100.00,140.00,170.00,180.00,200,110,0
50.00,90.00,40.00,110.00,230.00,260.00,180.00,60.00
20.00,110,40,130,160,210.00,190,160
40.00,400.00,270.00,250.00,210.00,230.00,130.00,190.00
180.00,450,75,100,110.00,120,120,100
